ds,model,score
128,fashion_lf,0.7547956109046936
256,fashion_lf,0.7592598795890808
512,fashion_lf,0.7554756999015808
128,fashion_hf,0.7577078938484192
256,fashion_hf,0.7557547688484192
512,fashion_hf,0.7581961750984192
128,scratch,0.6462925672531128
256,scratch,0.7131173014640808
512,scratch,0.7505754828453064
128,resnet18,0.713134765625
256,resnet18,0.7471575140953064
512,resnet18,0.7872139811515808
