auc,ds,model,n_estimators
0.9273545876484879,128,mnist_tiny,10
0.8791267058462363,128,mnist_tiny,100
0.9502955864614567,128,mnist_512,10
0.9392371516504264,128,mnist_512,100
0.9416580863576989,256,mnist_tiny,10
0.9089801659950314,256,mnist_tiny,100
0.9431909204981598,256,mnist_512,10
0.9329460738430951,256,mnist_512,100
0.9246587069756091,512,mnist_tiny,10
0.9219084287279734,512,mnist_tiny,100
0.9460962752652916,512,mnist_512,10
0.9327899823263316,512,mnist_512,100
