n_estimators,n_rf,score,train_size,vote_pct
10,1,0.8851038711274445,256,0.9158238002232143
10,10,0.9229603938687237,256,0.8748779296875
10,20,0.9273189988577841,256,0.8702392578125
20,10,0.9266535559479853,256,0.8690011160714286
10,1,0.8783702816057519,512,0.9313616071428571
10,10,0.9205410957576697,512,0.8998151506696429
10,20,0.9208124587362616,512,0.8980538504464286
20,10,0.9207353769097862,512,0.8982805524553571
