n_estimators,n_rf,score,train_size,vote_pct
10,1,0.8027359505243346,128,0.5009428879310345
10,10,0.953005411202652,128,0.34538321659482757
10,20,0.9634872205271845,128,0.3366278286637931
20,10,0.9612737957707569,128,0.3352134967672414
10,50,0.9588370613283735,128,0.3440025592672414
50,10,0.9577813732429973,128,0.3330078125
